Start date,End date,Mean,Median,Min,Max,Records (count)
2019-10-28T18:35:00Z,2019-10-28T18:35:00Z,0,0,0,0,1
2019-11-04T19:26:00Z,2019-11-04T19:26:00Z,1767,1767,1767,1767,1
2019-11-12T18:40:00Z,2019-11-12T18:40:00Z,272,272,272,272,1
2019-11-18T19:13:00Z,2019-11-18T19:13:00Z,272,272,272,272,1
2019-11-25T18:15:00Z,2019-11-25T18:15:00Z,1877,1877,1877,1877,1
2019-12-02T19:30:00Z,2019-12-02T19:30:00Z,3129,3129,3129,3129,1
2019-12-09T18:35:00Z,2019-12-09T18:35:00Z,410,410,410,410,1
2019-12-16T18:17:00Z,2019-12-16T18:17:00Z,2503,2503,2503,2503,1
2019-12-23T17:40:00Z,2019-12-23T17:40:00Z,1877,1877,1877,1877,1
2019-12-30T18:13:00Z,2019-12-30T18:13:00Z,1631,1631,1631,1631,1
2020-01-06T17:55:00Z,2020-01-06T17:55:00Z,2872,2872,2872,2872,1
2020-01-13T19:10:00Z,2020-01-13T19:10:00Z,1231,1231,1231,1231,1
2020-01-21T19:00:00Z,2020-01-21T19:00:00Z,2447,2447,2447,2447,1
2020-01-27T18:47:00Z,2020-01-27T18:47:00Z,816,816,816,816,1
2020-02-03T18:40:00Z,2020-02-03T18:40:00Z,1359,1359,1359,1359,1
2020-02-10T18:34:00Z,2020-02-10T18:34:00Z,408,408,408,408,1
2020-02-18T17:58:00Z,2020-02-18T17:58:00Z,2051,2051,2051,2051,1
2020-02-24T18:27:00Z,2020-02-24T18:27:00Z,408,408,408,408,1
2020-03-02T18:30:00Z,2020-03-02T18:30:00Z,4381,4381,4381,4381,1
2020-03-09T17:40:00Z,2020-03-09T17:40:00Z,2051,2051,2051,2051,1
2020-03-16T17:44:00Z,2020-03-16T17:44:00Z,4486,4486,4486,4486,1
2020-03-23T17:09:00Z,2020-03-23T17:09:00Z,3670,3670,3670,3670,1
2020-03-30T18:40:00Z,2020-03-30T18:40:00Z,57574,57574,57574,57574,1
2020-04-07T20:30:00Z,2020-04-07T20:30:00Z,21333,21333,21333,21333,1
2020-04-13T18:40:00Z,2020-04-13T18:40:00Z,36297,36297,36297,36297,1
2020-04-20T19:26:00Z,2020-04-20T19:26:00Z,1030327,1030327,1030327,1030327,1
2020-04-27T18:17:00Z,2020-04-27T18:17:00Z,9168577,9168577,9168577,9168577,1
2020-05-04T19:35:00Z,2020-05-04T19:35:00Z,4304873,4304873,4304873,4304873,1
2020-05-11T19:50:00Z,2020-05-11T19:50:00Z,1146469,1146469,1146469,1146469,1
2020-05-18T19:35:00Z,2020-05-18T19:35:00Z,7510,7510,7510,7510,1
2020-05-26T19:30:00Z,2020-05-26T19:30:00Z,34858,34858,34858,34858,1
2020-06-01T20:30:00Z,2020-06-01T20:30:00Z,16897,16897,16897,16897,1
2020-06-08T18:25:00Z,2020-06-08T18:25:00Z,2503,2503,2503,2503,1
2020-06-15T17:34:00Z,2020-06-15T17:34:00Z,2175,2175,2175,2175,1
2020-06-22T18:09:00Z,2020-06-22T18:09:00Z,2447,2447,2447,2447,1
2020-06-29T17:19:00Z,2020-06-29T17:19:00Z,821,821,821,821,1
2020-07-06T19:19:00Z,2020-07-06T19:19:00Z,3282,3282,3282,3282,1
2020-07-13T18:00:00Z,2020-07-13T18:00:00Z,2462,2462,2462,2462,1
2020-07-20T18:19:00Z,2020-07-20T18:19:00Z,3755,3755,3755,3755,1
2020-07-27T18:30:00Z,2020-07-27T18:30:00Z,3129,3129,3129,3129,1
2020-08-03T17:25:00Z,2020-08-03T17:25:00Z,1252,1252,1252,1252,1
2020-08-10T18:15:00Z,2020-08-10T18:15:00Z,1252,1252,1252,1252,1
2020-08-17T17:40:00Z,2020-08-17T17:40:00Z,136,136,136,136,1
2020-08-24T18:09:00Z,2020-08-24T18:09:00Z,408,408,408,408,1
2020-08-31T17:34:00Z,2020-08-31T17:34:00Z,1252,1252,1252,1252,1
2020-09-08T18:50:00Z,2020-09-08T18:50:00Z,0,0,0,0,1
2020-09-14T18:09:00Z,2020-09-14T18:09:00Z,272,272,272,272,1
2020-09-21T17:30:00Z,2020-09-21T17:30:00Z,0,0,0,0,1
2020-09-28T17:50:00Z,2020-09-28T17:50:00Z,0,0,0,0,1
2020-10-05T17:25:00Z,2020-10-05T17:25:00Z,408,408,408,408,1
2020-10-12T17:15:00Z,2020-10-12T17:15:00Z,544,544,544,544,1
2020-10-19T16:57:00Z,2020-10-19T16:57:00Z,136,136,136,136,1
2020-10-26T16:40:00Z,2020-10-26T16:40:00Z,408,408,408,408,1
2020-11-02T18:15:00Z,2020-11-02T18:15:00Z,136,136,136,136,1
2020-11-09T18:09:00Z,2020-11-09T18:09:00Z,0,0,0,0,1
2020-11-16T18:40:00Z,2020-11-16T18:40:00Z,1252,1252,1252,1252,1
2020-11-23T19:25:00Z,2020-11-23T19:25:00Z,5006,5006,5006,5006,1
2020-11-30T18:15:00Z,2020-11-30T18:15:00Z,1877,1877,1877,1877,1
2020-12-07T18:25:00Z,2020-12-07T18:25:00Z,1631,1631,1631,1631,1
2020-12-14T18:19:00Z,2020-12-14T18:19:00Z,1641,1641,1641,1641,1
2020-12-21T18:15:00Z,2020-12-21T18:15:00Z,2990,2990,2990,2990,1
2020-12-28T17:25:00Z,2020-12-28T17:25:00Z,3755,3755,3755,3755,1
2021-01-04T18:19:00Z,2021-01-04T18:19:00Z,5006,5006,5006,5006,1
2021-01-11T18:57:00Z,2021-01-11T18:57:00Z,6258,6258,6258,6258,1
2021-01-18T20:50:00Z,2021-01-18T20:50:00Z,3755,3755,3755,3755,1
2021-01-26T20:00:00Z,2021-01-26T20:00:00Z,3755,3755,3755,3755,1
2021-02-01T18:50:00Z,2021-02-01T18:50:00Z,5632,5632,5632,5632,1
2021-02-08T18:30:00Z,2021-02-08T18:30:00Z,68838,68838,68838,68838,1
2021-02-16T18:50:00Z,2021-02-16T18:50:00Z,13768,13768,13768,13768,1
2021-02-22T18:44:00Z,2021-02-22T18:44:00Z,9387,9387,9387,9387,1
2021-03-01T19:21:00Z,2021-03-01T19:21:00Z,2503,2503,2503,2503,1
2021-03-08T19:31:00Z,2021-03-08T19:31:00Z,1877,1877,1877,1877,1
2021-03-15T17:40:00Z,2021-03-15T17:40:00Z,5632,5632,5632,5632,1
2021-03-22T17:46:00Z,2021-03-22T17:46:00Z,15645,15645,15645,15645,1
2021-03-29T18:11:00Z,2021-03-29T18:11:00Z,13768,13768,13768,13768,1
2021-04-05T18:16:00Z,2021-04-05T18:16:00Z,9387,9387,9387,9387,1
2021-04-12T18:09:00Z,2021-04-12T18:09:00Z,8135,8135,8135,8135,1
2021-04-19T18:06:00Z,2021-04-19T18:06:00Z,37548,37548,37548,37548,1
2021-04-26T18:25:00Z,2021-04-26T18:25:00Z,2503,2503,2503,2503,1
2021-05-03T17:58:00Z,2021-05-03T17:58:00Z,8761,8761,8761,8761,1
2021-05-10T17:55:00Z,2021-05-10T17:55:00Z,15019,15019,15019,15019,1
2021-05-17T18:02:00Z,2021-05-17T18:02:00Z,11690,11690,11690,11690,1
2021-05-24T18:00:00Z,2021-05-24T18:00:00Z,,,,,1
2021-06-01T18:32:00Z,2021-06-01T18:32:00Z,,,,,1
2021-06-07T18:41:00Z,2021-06-07T18:41:00Z,,,,,1
2021-06-14T18:10:00Z,2021-06-14T18:10:00Z,,,,,1
2021-06-21T17:44:00Z,2021-06-21T17:44:00Z,,,,,1
2021-06-28T16:27:00Z,2021-06-28T16:27:00Z,,,,,1
2021-07-06T17:30:00Z,2021-07-06T17:30:00Z,,,,,1
2021-07-12T18:00:00Z,2021-07-12T18:00:00Z,,,,,1
2021-07-19T17:16:00Z,2021-07-19T17:16:00Z,,,,,1
2021-07-26T19:01:00Z,2021-07-26T19:01:00Z,,,,,1
2021-08-02T18:48:00Z,2021-08-02T18:48:00Z,,,,,1
2021-08-09T19:17:00Z,2021-08-09T19:17:00Z,,,,,1
2021-08-16T19:17:00Z,2021-08-16T19:17:00Z,,,,,1
2021-08-23T18:50:00Z,2021-08-23T18:50:00Z,,,,,1
2021-08-30T19:38:00Z,2021-08-30T19:38:00Z,,,,,1
2021-09-07T19:00:00Z,2021-09-07T19:00:00Z,,,,,1
2021-09-13T18:50:00Z,2021-09-13T18:50:00Z,,,,,1
2021-09-20T18:58:00Z,2021-09-20T18:58:00Z,680,680,680,680,1
2021-09-27T19:33:00Z,2021-09-27T19:33:00Z,,,,,1
2021-10-04T19:40:00Z,2021-10-04T19:40:00Z,,,,,1
2021-10-11T18:52:00Z,2021-10-11T18:52:00Z,,,,,1
2021-10-18T19:08:00Z,2021-10-18T19:08:00Z,,,,,1
2021-10-25T18:25:00Z,2021-10-25T18:25:00Z,,,,,1
2021-11-01T18:48:00Z,2021-11-01T18:48:00Z,626,626,626,626,1
2021-11-08T19:43:00Z,2021-11-08T19:43:00Z,4103,4103,4103,4103,1
2021-11-15T20:08:00Z,2021-11-15T20:08:00Z,133296,133296,133296,133296,1
2021-11-22T19:50:00Z,2021-11-22T19:50:00Z,4381,4381,4381,4381,1
2021-11-29T19:40:00Z,2021-11-29T19:40:00Z,4381,4381,4381,4381,1
2021-12-06T20:07:00Z,2021-12-06T20:07:00Z,53819,53819,53819,53819,1
2021-12-13T19:39:00Z,2021-12-13T19:39:00Z,7068,7068,7068,7068,1
2021-12-20T20:05:00Z,2021-12-20T20:05:00Z,2503,2503,2503,2503,1
2021-12-27T19:53:00Z,2021-12-27T19:53:00Z,1087,1087,1087,1087,1
2022-01-03T20:01:00Z,2022-01-03T20:01:00Z,0,0,0,0,1
2022-01-10T20:16:00Z,2022-01-10T20:16:00Z,3262,3262,3262,3262,1
2022-01-18T19:53:00Z,2022-01-18T19:53:00Z,1903,1903,1903,1903,1
2022-01-24T20:00:00Z,2022-01-24T20:00:00Z,7748,7748,7748,7748,1
2022-01-31T19:58:00Z,2022-01-31T19:58:00Z,1223,1223,1223,1223,1
2022-02-07T19:51:00Z,2022-02-07T19:51:00Z,3398,3398,3398,3398,1
2022-02-14T19:51:00Z,2022-02-14T19:51:00Z,0,0,0,0,1
